TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
Cultura e Esportes,Cinema,qt4,Qual é a quantidade de salas de cinema em Salvador comparado com a quantidade de salas de cinema na Bahia?,qt4.csv,codigo_v00.R,http://www.enecult.ufba.br/modulos/submissao/Upload-568/131919.pdf,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_culturaesporte_cinema,,anual,barra lado a lado,Número de salas de cinema em Salvador comparado com o número de salas de cinema na Bahia
Cultura e Esportes,Cinema,qt5,Qual é a quantidade de complexos de cinema em Salvador?,qt5.csv,codigo_v01.R,http://www.enecult.ufba.br/modulos/submissao/Upload-568/131919.pdf,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_culturaesporte_cinema,,anual,padrão,Número de complexos de cinema em Salvador
